epoch,accuracy,false_negatives,false_positives,loss,precision,recall,sensitivity_at_specificity,specificity_at_sensitivity,true_negatives,true_positives,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_sensitivity_at_specificity,val_specificity_at_sensitivity,val_true_negatives,val_true_positives
20,0.9318681359291077,62.0,62.0,0.18654119968414307,0.9318681359291077,0.9318681359291077,0.9923076629638672,0.9923076629638672,848.0,848.0,0.7371428608894348,92.0,92.0,1.1982873678207397,0.7371428608894348,0.7371428608894348,0.8828571438789368,0.8828571438789368,258.0,258.0
21,0.9395604133605957,55.0,55.0,0.1546107679605484,0.9395604133605957,0.9395604133605957,0.9945054650306702,0.9945054650306702,855.0,855.0,0.5028571486473083,174.0,174.0,30.470684051513672,0.5028571486473083,0.5028571486473083,0.508571445941925,0.508571445941925,176.0,176.0
22,0.9395604133605957,55.0,55.0,0.2032911479473114,0.9395604133605957,0.9395604133605957,0.9879120588302612,0.9879120588302612,855.0,855.0,0.7200000286102295,98.0,98.0,1.1272205114364624,0.7200000286102295,0.7200000286102295,0.9171428680419922,0.9171428680419922,252.0,252.0
23,0.9494505524635315,46.0,46.0,0.14120668172836304,0.9494505524635315,0.9494505524635315,0.9890109896659851,0.9890109896659851,864.0,864.0,0.5,175.0,175.0,20.629682540893555,0.5,0.5,0.5057142972946167,0.5057142972946167,175.0,175.0
24,0.9384615421295166,56.0,56.0,0.15835507214069366,0.9384615421295166,0.9384615421295166,0.9923076629638672,0.9923076629638672,854.0,854.0,0.6828571557998657,111.0,111.0,4.736902713775635,0.6828571557998657,0.6828571557998657,0.7428571581840515,0.7428571581840515,239.0,239.0
25,0.9472527503967285,48.0,48.0,0.1496262103319168,0.9472527503967285,0.9472527503967285,0.9923076629638672,0.9923076629638672,862.0,862.0,0.5257142782211304,166.0,166.0,11.918471336364746,0.5257142782211304,0.5257142782211304,0.5514285564422607,0.5514285564422607,184.0,184.0
26,0.9373626112937927,57.0,57.0,0.17426049709320068,0.9373626112937927,0.9373626112937927,0.9890109896659851,0.9890109896659851,853.0,853.0,0.7028571367263794,104.0,104.0,1.4068299531936646,0.7028571367263794,0.7028571367263794,0.8057143092155457,0.8057143092155457,246.0,246.0
27,0.9362637400627136,58.0,58.0,0.1666710078716278,0.9362637400627136,0.9362637400627136,0.9901098608970642,0.9901098608970642,852.0,852.0,0.4714285731315613,185.0,185.0,5.782928466796875,0.4714285731315613,0.4714285731315613,0.44285714626312256,0.44285714626312256,165.0,165.0
28,0.9538461565971375,42.0,42.0,0.17567592859268188,0.9538461565971375,0.9538461565971375,0.9835164546966553,0.9835164546966553,868.0,868.0,0.5028571486473083,174.0,174.0,15.999870300292969,0.5028571486473083,0.5028571486473083,0.5057142972946167,0.5057142972946167,176.0,176.0
29,0.9472527503967285,48.0,48.0,0.1352379024028778,0.9472527503967285,0.9472527503967285,0.9967032670974731,0.9967032670974731,862.0,862.0,0.5,175.0,175.0,116.72950744628906,0.5,0.5,0.5,0.5,175.0,175.0
